NodeID,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Timestamp
r6,-0.998901,-0.019653,0.123901,2.868652,0.610352,-0.732422,2026-04-20T14:57:29.685060+00:00
r6,-0.997925,-0.019409,0.124023,2.929688,0.732422,-0.793457,2026-04-20T14:57:29.685584+00:00
r6,-0.998169,-0.02002,0.123779,2.685547,0.549316,-0.610352,2026-04-20T14:57:29.686106+00:00
r6,-0.998291,-0.02063,0.123901,2.685547,0.671387,-0.671387,2026-04-20T14:57:29.686636+00:00
r6,-0.997681,-0.019409,0.123657,2.685547,0.610352,-0.732422,2026-04-20T14:57:29.687160+00:00
r6,-0.998413,-0.019775,0.123901,2.624512,0.549316,-0.732422,2026-04-20T14:57:29.687682+00:00
r6,-0.997437,-0.018188,0.125488,2.929688,0.671387,-0.610352,2026-04-20T14:57:29.688206+00:00
r6,-0.998413,-0.020508,0.124512,2.685547,0.549316,-0.793457,2026-04-20T14:57:29.688727+00:00
r6,-0.998291,-0.019165,0.124512,2.746582,0.610352,-0.793457,2026-04-20T14:57:29.689246+00:00
r6,-0.99939,-0.02002,0.124146,2.868652,0.549316,-0.549316,2026-04-20T14:57:29.689768+00:00
r6,-0.997681,-0.019043,0.123047,2.563477,0.671387,-0.671387,2026-04-20T14:57:29.690297+00:00
r6,-0.998047,-0.021118,0.124756,2.807617,0.549316,-0.610352,2026-04-20T14:57:29.690823+00:00
r6,-0.998047,-0.019409,0.12439,2.746582,0.549316,-0.793457,2026-04-20T14:57:29.715640+00:00
r6,-0.998413,-0.018677,0.125,2.746582,0.610352,-0.732422,2026-04-20T14:57:29.746618+00:00
r6,-0.999146,-0.020386,0.125488,2.746582,0.671387,-0.732422,2026-04-20T14:57:29.777624+00:00
r6,-0.997681,-0.020142,0.123657,2.624512,0.610352,-0.610352,2026-04-20T14:57:29.808624+00:00
r6,-0.999146,-0.020508,0.123657,2.807617,0.549316,-0.854492,2026-04-20T14:57:29.839047+00:00
r6,-0.998779,-0.020142,0.123901,2.746582,0.610352,-0.610352,2026-04-20T14:57:29.870051+00:00
r6,-0.998413,-0.019531,0.124268,2.990723,0.488281,-0.671387,2026-04-20T14:57:29.900639+00:00
r6,-0.997437,-0.020386,0.123047,2.685547,0.427246,-0.671387,2026-04-20T14:57:29.931669+00:00
r6,-0.998535,-0.02002,0.124634,2.990723,0.610352,-0.671387,2026-04-20T14:57:29.962624+00:00
r6,-0.998657,-0.019653,0.123901,2.807617,0.549316,-0.671387,2026-04-20T14:57:29.993640+00:00
r6,-0.999023,-0.020264,0.12439,2.929688,0.610352,-0.793457,2026-04-20T14:57:30.024683+00:00
r6,-0.998047,-0.019531,0.125122,2.868652,0.610352,-0.549316,2026-04-20T14:57:30.055669+00:00
r6,-0.998169,-0.021606,0.124878,2.746582,0.366211,-0.793457,2026-04-20T14:57:30.085845+00:00
r6,-0.999023,-0.020142,0.124634,2.685547,0.610352,-0.732422,2026-04-20T14:57:30.116642+00:00
r6,-0.998169,-0.019287,0.123413,2.685547,0.549316,-0.610352,2026-04-20T14:57:30.147093+00:00
r6,-0.999146,-0.02063,0.124878,2.624512,0.549316,-0.549316,2026-04-20T14:57:30.177957+00:00
r6,-0.998291,-0.021362,0.126343,2.624512,0.488281,-0.732422,2026-04-20T14:57:30.207082+00:00
r6,-0.983154,-0.02124,0.103516,2.502441,0.366211,-0.610352,2026-04-20T14:57:30.238088+00:00
r6,-1.024414,-0.041626,0.135132,2.624512,-2.746582,0.305176,2026-04-20T14:57:30.268692+00:00
r6,-1.068726,-0.029175,0.113037,1.831055,-0.061035,-1.281738,2026-04-20T14:57:30.299669+00:00
r6,-0.928467,-0.059082,0.094604,2.13623,1.464844,-1.525879,2026-04-20T14:57:30.330718+00:00
r6,-1.006836,-0.087524,0.102661,2.197266,-0.671387,-0.793457,2026-04-20T14:57:30.362094+00:00
r6,-1.038208,-0.03064,0.165649,1.342773,2.197266,-2.258301,2026-04-20T14:57:30.393097+00:00
r6,-0.996582,-0.011963,0.161987,4.638672,4.760742,-2.01416,2026-04-20T14:57:30.423685+00:00
r6,-1.042114,0.010742,0.140381,1.403809,5.554199,1.708984,2026-04-20T14:57:30.453707+00:00
r6,-1.002075,-0.040161,0.118774,1.77002,4.943848,-2.13623,2026-04-20T14:57:30.483101+00:00
r6,-0.960083,-0.040161,0.108765,1.220703,2.929688,-1.77002,2026-04-20T14:57:30.513098+00:00
r6,-1.020142,-0.051514,0.12561,3.356934,1.831055,-0.366211,2026-04-20T14:57:30.542700+00:00
r6,-0.997681,-0.055664,0.11145,-0.610352,3.90625,-3.356934,2026-04-20T14:57:30.572107+00:00
r6,-0.961792,-0.012695,0.184937,-1.464844,3.723145,-1.281738,2026-04-20T14:57:30.602120+00:00
r6,-1.026978,-0.029785,0.137817,-1.281738,2.624512,-1.403809,2026-04-20T14:57:30.631798+00:00
r6,-0.975586,-0.067627,0.09729,3.417969,7.69043,-3.662109,2026-04-20T14:57:30.662121+00:00
r6,-1.006714,-0.003906,0.223145,0.976562,2.746582,-0.12207,2026-04-20T14:57:30.692725+00:00
r6,-1.021729,-0.022339,0.174683,-1.159668,5.065918,-1.098633,2026-04-20T14:57:30.723704+00:00
r6,-1.004883,-0.046753,0.105957,-2.502441,7.69043,-1.037598,2026-04-20T14:57:30.755127+00:00
r6,-0.956299,-0.022583,0.148071,-0.610352,6.225586,-1.89209,2026-04-20T14:57:30.785707+00:00
r6,-1.025391,-0.042236,0.14209,0.0,6.347656,-0.549316,2026-04-20T14:57:30.816707+00:00
r6,-0.986206,-0.050049,0.113281,-2.075195,5.249023,-2.685547,2026-04-20T14:57:30.847716+00:00
r6,-0.953857,-0.030029,0.119507,-0.793457,4.821777,-1.281738,2026-04-20T14:57:30.877750+00:00
r6,-0.974731,-0.069702,0.12439,0.061035,6.164551,-0.854492,2026-04-20T14:57:30.907144+00:00
r6,-1.049316,-0.032471,0.250488,-1.77002,5.79834,-1.037598,2026-04-20T14:57:30.938718+00:00
r6,-0.988037,-0.009766,0.188477,-1.953125,7.873535,-2.563477,2026-04-20T14:57:30.969169+00:00
r6,-1.018677,-0.025391,0.196411,-1.098633,4.882812,-0.183105,2026-04-20T14:57:31.000158+00:00
r6,-0.989868,-0.052246,0.164917,-2.380371,7.629395,-1.220703,2026-04-20T14:57:31.031153+00:00
r6,-1.002075,-0.001709,0.190918,-2.01416,10.131836,15.380859,2026-04-20T14:57:31.061726+00:00
