NodeID,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Timestamp
niryo-wrist-imu,-0.41687,0.440063,0.76709,2.807617,0.610352,-2.807617,2026-04-15T19:51:51.157310+00:00
niryo-wrist-imu,-0.417603,0.432861,0.770386,2.746582,0.488281,-2.685547,2026-04-15T19:51:51.157959+00:00
niryo-wrist-imu,-0.419556,0.436157,0.774048,2.990723,0.488281,-2.685547,2026-04-15T19:51:51.158930+00:00
niryo-wrist-imu,-0.420898,0.440308,0.77002,2.868652,0.610352,-2.868652,2026-04-15T19:51:51.159646+00:00
niryo-wrist-imu,-0.420532,0.429443,0.771851,2.929688,0.671387,-2.868652,2026-04-15T19:51:51.160172+00:00
niryo-wrist-imu,-0.419556,0.428223,0.769775,2.746582,0.549316,-2.563477,2026-04-15T19:51:51.161074+00:00
niryo-wrist-imu,-0.419434,0.430908,0.768433,2.807617,0.549316,-2.746582,2026-04-15T19:51:51.161885+00:00
niryo-wrist-imu,-0.418457,0.433716,0.769531,2.990723,0.488281,-2.563477,2026-04-15T19:51:51.162406+00:00
niryo-wrist-imu,-0.419678,0.435181,0.769043,2.807617,0.488281,-2.685547,2026-04-15T19:51:51.162921+00:00
niryo-wrist-imu,-0.418579,0.428345,0.771118,2.807617,0.610352,-2.685547,2026-04-15T19:51:51.163442+00:00
niryo-wrist-imu,-0.419067,0.430542,0.771118,2.624512,0.671387,-2.685547,2026-04-15T19:51:51.163949+00:00
niryo-wrist-imu,-0.417725,0.43457,0.767578,2.685547,0.549316,-2.807617,2026-04-15T19:51:51.164474+00:00
niryo-wrist-imu,-0.419922,0.437134,0.769287,2.807617,0.488281,-2.685547,2026-04-15T19:51:51.164974+00:00
niryo-wrist-imu,-0.419312,0.434326,0.768066,2.685547,0.488281,-2.807617,2026-04-15T19:51:51.165472+00:00
niryo-wrist-imu,-0.418091,0.430908,0.77356,2.868652,0.488281,-2.746582,2026-04-15T19:51:51.165971+00:00
niryo-wrist-imu,-0.419067,0.434692,0.769531,2.624512,0.671387,-2.685547,2026-04-15T19:51:51.166476+00:00
niryo-wrist-imu,-0.419434,0.432861,0.767944,2.929688,0.488281,-2.746582,2026-04-15T19:51:51.166987+00:00
niryo-wrist-imu,-0.418457,0.437256,0.769653,2.807617,0.366211,-2.746582,2026-04-15T19:51:51.167487+00:00
niryo-wrist-imu,-0.419678,0.433472,0.768311,2.685547,0.610352,-2.685547,2026-04-15T19:51:51.167984+00:00
niryo-wrist-imu,-0.417969,0.429932,0.77124,2.990723,0.366211,-2.807617,2026-04-15T19:51:51.168479+00:00
niryo-wrist-imu,-0.418579,0.433472,0.771606,2.502441,0.610352,-2.807617,2026-04-15T19:51:51.168976+00:00
niryo-wrist-imu,-0.418579,0.43335,0.770996,2.685547,0.549316,-2.746582,2026-04-15T19:51:51.169466+00:00
niryo-wrist-imu,-0.421387,0.438965,0.767944,2.807617,0.549316,-2.807617,2026-04-15T19:51:51.169957+00:00
niryo-wrist-imu,-0.421753,0.4375,0.768311,2.929688,0.549316,-2.685547,2026-04-15T19:51:51.170459+00:00
niryo-wrist-imu,-0.41748,0.428589,0.771606,2.868652,0.488281,-2.746582,2026-04-15T19:51:51.170957+00:00
niryo-wrist-imu,-0.417847,0.43042,0.771973,2.685547,0.610352,-2.685547,2026-04-15T19:51:51.171464+00:00
niryo-wrist-imu,-0.419434,0.435181,0.769653,2.746582,0.549316,-2.868652,2026-04-15T19:51:51.171972+00:00
niryo-wrist-imu,-0.420288,0.436401,0.767944,2.807617,0.427246,-2.563477,2026-04-15T19:51:51.172469+00:00
niryo-wrist-imu,-0.421021,0.435547,0.769409,2.868652,0.488281,-2.868652,2026-04-15T19:51:51.172968+00:00
niryo-wrist-imu,-0.417358,0.435669,0.769897,2.807617,0.549316,-2.746582,2026-04-15T19:51:51.173466+00:00
niryo-wrist-imu,-0.417358,0.432739,0.770996,2.685547,0.549316,-2.746582,2026-04-15T19:51:51.173972+00:00
niryo-wrist-imu,-0.418823,0.431274,0.769531,2.746582,0.610352,-2.807617,2026-04-15T19:51:51.174472+00:00
niryo-wrist-imu,-0.421631,0.436157,0.769653,2.746582,0.427246,-2.807617,2026-04-15T19:51:51.175090+00:00
niryo-wrist-imu,-0.420044,0.435791,0.77002,2.868652,0.610352,-2.746582,2026-04-15T19:51:51.175624+00:00
niryo-wrist-imu,-0.418945,0.433228,0.769409,2.746582,0.549316,-2.685547,2026-04-15T19:51:51.176145+00:00
niryo-wrist-imu,-0.418091,0.434937,0.770996,2.807617,0.732422,-2.868652,2026-04-15T19:51:51.176654+00:00
niryo-wrist-imu,-0.416626,0.432617,0.770874,2.624512,0.610352,-2.746582,2026-04-15T19:51:51.177194+00:00
niryo-wrist-imu,-0.420654,0.435547,0.768677,2.868652,0.427246,-2.746582,2026-04-15T19:51:51.177715+00:00
niryo-wrist-imu,-0.420288,0.4375,0.768921,2.746582,0.549316,-2.746582,2026-04-15T19:51:51.178227+00:00
niryo-wrist-imu,-0.419067,0.431885,0.77124,2.685547,0.549316,-2.807617,2026-04-15T19:51:51.178782+00:00
niryo-wrist-imu,-0.417358,0.431152,0.771484,2.746582,0.488281,-2.563477,2026-04-15T19:51:51.179315+00:00
niryo-wrist-imu,-0.417603,0.43042,0.769287,2.685547,0.549316,-2.868652,2026-04-15T19:51:51.179835+00:00
niryo-wrist-imu,-0.419556,0.435669,0.768066,2.746582,0.610352,-2.685547,2026-04-15T19:51:51.180346+00:00
niryo-wrist-imu,-0.419067,0.4375,0.771362,2.807617,0.549316,-2.807617,2026-04-15T19:51:51.180850+00:00
niryo-wrist-imu,-0.419922,0.435181,0.769653,2.746582,0.610352,-2.807617,2026-04-15T19:51:51.181357+00:00
niryo-wrist-imu,-0.419067,0.43042,0.769531,2.685547,0.427246,-2.746582,2026-04-15T19:51:51.181866+00:00
